wls,ev,lia_voltages,lia_voltage_stds,eqe,eqe_error
300,4.132806433333333,8.904362000000001e-08,1.4014196908050066e-08,0.08725695373935224,0.013823662726301134
310,3.9994900967741938,9.786792e-08,1.267941582540773e-08,0.10602456451016892,0.013736281967311224
320,3.87450603125,9.581227499999999e-08,1.1690870348262144e-08,0.10778338387925539,0.013152402422127748
330,3.757096757575758,1.5493665e-07,1.3466358792468734e-08,0.13803505167230573,0.011998215135435558
340,3.646593911764706,2.0449184999999995e-06,1.2753471007925591e-08,0.20301545293654263,0.0013030764669654633
350,3.5424055142857145,9.1962165e-06,2.175370802300132e-08,0.19177998296429236,0.0007118035293131054
360,3.4440053611111114,2.1475475e-05,4.277608999195671e-08,0.21559993705888775,0.000554059071170742
370,3.350924135135135,3.7560475e-05,3.844757307035161e-08,0.26392401539350757,0.00046131850059466723
380,3.2627419210526316,5.2317095e-05,5.107170914508339e-08,0.318448303717478,0.0006206892662735962
390,3.179081871794872,6.4162445e-05,1.1599309235898418e-07,0.34985540946952626,0.0009266160766513016
400,3.099604825,7.711081e-05,1.333417072787063e-07,0.3577662805928875,0.0007437250809209195
410,3.0240047073170735,8.4359665e-05,1.6152028440725416e-07,0.36094912483479824,0.0009221448389715436
420,2.9520045952380953,8.956613e-05,1.685956378439258e-07,0.35704541654128735,0.0010312191042266435
430,2.8833533255813957,9.425888499999999e-05,1.6540625524749722e-07,0.34883604165678184,0.0008609709918797469
440,2.817822568181818,9.7625425e-05,1.6418486798423273e-07,0.3445480881220136,0.0008228329615125201
450,2.755204288888889,0.00010354084999999999,1.9790560249775535e-07,0.3421848044036973,0.0007278328712874574
460,2.695308543478261,0.00011615530000000002,2.237442960166814e-07,0.3474489809772606,0.0008214403637024115
470,2.6379615531914893,0.00013467735,3.863091087458321e-07,0.318040931698816,0.0011835493881660667
480,2.5830040208333336,0.0001427368,2.1321505575357573e-07,0.31238549832886997,0.000889924065364448
490,2.5302896530612244,0.0001243772,1.771357106853361e-07,0.3119409394837402,0.0005969392508351097
500,2.47968386,0.00012071259999999998,3.339645789601047e-07,0.31009406725037963,0.0011385007929896169
510,2.4310626078431374,0.0001117435,3.5392704050411357e-07,0.3080362705410016,0.0011363342508704892
520,2.384311403846154,0.0001100212,2.3556179656302545e-07,0.30663392949351614,0.0011340586851603677
530,2.339324396226415,0.00010806514999999999,1.5593789629208089e-07,0.30491658197791827,0.0010697875227763571
540,2.2960035740740743,0.00010549325000000002,2.863949851167097e-07,0.29905670922371347,0.0017732622574525324
550,2.2542580545454545,0.00010383919999999998,2.3536346360469838e-07,0.2923532666504243,0.0010857572759176706
560,2.2140034464285714,0.0001007647,2.620736728479229e-07,0.284765468230269,0.0010680274902934142
570,2.1751612807017544,9.698654e-05,1.303547329405417e-07,0.27880594657011254,0.0005738468932740268
580,2.1376585,9.255007999999999e-05,3.3715912207739544e-07,0.27794440303500956,0.005109335394479312
590,2.101427,8.915076e-05,2.077598310549953e-07,0.27414124211540486,0.0007613384882131506
600,2.0664032166666666,4.5060965000000005e-05,9.361820482683821e-08,0.2598654843030342,0.0013098841467368424
610,2.0325277540983606,7.5186885e-05,1.916302305874511e-07,0.2555899424343713,0.0010945841654567783
620,1.9997450483870969,7.3619475e-05,1.9806460783037416e-07,0.24925742717390986,0.0008368925029349688
630,1.9680030634920636,7.3330195e-05,2.991725596959041e-07,0.24285090119212813,0.0012866296418923026
640,1.937253015625,6.951699e-05,1.3392640852348749e-07,0.23476621223899943,0.000579096586914824
650,1.907449123076923,6.3941725e-05,1.6926159302984238e-07,0.22900976936759448,0.0008984224213606714
660,1.878548378787879,6.151544000000001e-05,9.295955787330366e-08,0.22218790518353246,0.0007834763479009896
670,1.850510343283582,5.635977e-05,1.6553715323153194e-07,0.21553806773139622,0.0006724222456504257
680,1.823296955882353,5.5134154999999995e-05,1.2880372461617703e-07,0.21004292047078016,0.0007677282692687282
690,1.7968723623188407,5.5659805000000006e-05,9.190116144532691e-08,0.2044955460170913,0.0004795651391203616
700,1.7712027571428572,5.374463499999999e-05,1.0787065530068834e-07,0.1995531715694339,0.0005572890782334328
710,1.74625623943662,4.790374e-05,1.8968711448066273e-07,0.19389649042248652,0.00093779186267567
720,1.7220026805555557,5.39048e-05,1.9136902831963182e-07,0.18946077143433213,0.0007131058853673991
730,1.698413602739726,4.9418619999999996e-05,1.3621138939163647e-07,0.182070706186344,0.0007682064339274459
740,1.6754620675675675,5.0868335000000005e-05,1.5887728055011472e-07,0.16691354820013146,0.0006949455547171585
750,1.6531225733333335,3.9078625000000004e-05,1.0870522469044357e-07,0.13035554130066607,0.00040930594924061797
760,1.6313709605263158,2.1898019999999997e-05,6.804920719596938e-08,0.07668762768904412,0.00027104548611110556
770,1.6101843246753247,1.0930995e-05,2.930249946676899e-08,0.03134424083427388,9.081738475180475e-05
780,1.589540935897436,3.411449e-06,2.2076866829330624e-08,0.011805743914368172,8.13268358560851e-05
790,1.569420164556962,6.901603e-07,1.6255745495362554e-08,0.0032206106299592636,7.644708720338128e-05
800,1.5498024125,2.5441865000000005e-07,1.6202364244995236e-08,0.0010609664206175254,6.760490704363004e-05
810,1.5306690493827162,1.1678420000000002e-07,1.3898498671331374e-08,0.0005000940319616184,5.952356055131143e-05
820,1.5120023536585367,7.695641499999999e-08,1.8930812920164702e-08,0.00034234426803815863,8.422645472339083e-05
830,1.4937854578313254,1.9134989999999998e-07,1.5566699611349864e-08,0.000202891831510935,1.6509302518656244e-05
